id,district,registered_voters,valid_votes ,invalid_votes ,total_votes ,museveni,amuriat,kabuleta,kalembe,katumba,kyagulanyi,mao,mayambala,muntu,mwesigye,tumukunde,winner
1,APAC,88834,52252,3161,55413,31908,1483,277,263,246,16485,310,117,326,300,537,yoweri
2,ARUA,65738,33804,2263,36067,23824,491,180,207,111,7966,240,85,271,197,232,yoweri
3,BUNDIBUGYO,113472,71773,2145,73918,52408,227,119,153,148,18076,92,36,185,100,229,yoweri
4,BUSHENYI,140415,84741,2674,87415,66572,2029,295,337,866,10937,138,51,2841,141,534,yoweri
5,GULU,45342,19839,2055,21894,9997,1165,255,171,119,3023,4011,598,208,117,175,yoweri
6,HOIMA,90617,52732,2971,55703,38431,345,1896,142,114,10973,95,47,304,231,154,yoweri
7,IGANGA,186519,93952,3368,97320,35660,849,123,1284,269,54712,288,64,241,128,334,kyagulanyi
8,JINJA,120278,62361,3115,65476,23005,1113,163,530,177,36847,124,28,165,91,118,kyagulanyi
9,KABALE,136559,88777,2247,91024,75032,2716,109,338,696,8168,130,44,993,128,423,yoweri
10,KABAROLE,107428,62223,3256,65479,50058,477,144,125,198,9963,109,50,606,227,266,yoweri
11,KALANGALA,35465,18741,1000,19741,5275,95,13,28,78,13121,40,5,35,16,35,kyagulanyi
12,KAMPALA,1280409,537980,12624,550604,128658,6608,1441,897,1698,391787,1372,89,4795,202,433,kyagulanyi
13,KAMULI,236917,127831,5899,133730,57470,1129,309,1112,377,65774,239,119,487,275,540,kyagulanyi
14,KAPCHORWA,56051,39466,1021,40487,30590,597,65,118,83,7542,144,56,97,72,102,yoweri
15,KASESE,384058,227322,6682,234004,109275,9406,626,565,650,102384,641,170,1527,796,1282,yoweri
16,KIBAALE,68857,42227,1494,43721,35804,129,364,56,71,5429,35,20,168,47,104,yoweri
17,KIBOGA,81434,48577,2052,50629,24254,107,47,67,78,23764,57,10,81,44,68,yoweri
18,KISORO,158552,109032,2982,112014,98694,701,227,92,250,7241,108,31,1221,212,255,yoweri
19,KITGUM,99234,50980,4459,55439,26880,2561,606,459,294,14869,3322,500,582,336,571,yoweri
20,KOTIDO,61086,38842,4846,43688,32310,423,141,165,135,2823,210,1214,234,230,957,yoweri
21,KUMI,119112,67387,3336,70723,38234,25139,327,215,289,2105,164,111,314,164,325,yoweri
22,LIRA,103180,60604,2882,63486,36908,1070,563,541,321,18093,1044,366,569,349,780,yoweri
23,LUWERO,257115,147315,4649,151964,41166,459,176,256,393,103782,289,101,298,184,211,kyagulanyi
24,MASAKA,55626,34961,1187,36148,11317,83,26,58,70,23132,95,9,61,59,51,kyagulanyi
25,MASINDI,154805,82177,4364,86541,55604,1117,2721,191,282,20879,203,97,358,314,411,yoweri
26,MBALE,108400,68701,2603,71304,37106,1309,170,321,159,28935,135,69,170,137,190,yoweri
27,MBARARA,84209,56636,1419,58055,49807,660,108,82,259,4586,57,12,792,83,190,yoweri
28,MOROTO,38004,24433,2225,26658,21342,211,111,60,45,1417,66,94,67,68,952,yoweri
29,MOYO,45367,24492,1542,26034,18227,483,191,149,75,4648,200,37,164,172,146,yoweri
30,MPIGI,135726,84386,2558,86944,22333,332,64,112,182,60815,160,27,138,73,150,kyagulanyi
31,MUBENDE,196565,114626,5661,120287,71834,350,135,100,196,40980,133,49,328,178,343,yoweri
32,MUKONO,355275,186974,4355,191329,48062,1148,270,372,856,134591,525,117,600,185,248,kyagulanyi
33,NEBBI,130508,68563,4079,72642,47285,2271,369,425,328,15421,761,223,448,563,469,yoweri
34,NTUNGAMO,268541,186849,3921,190770,161655,3227,145,300,802,12503,159,53,7110,218,677,yoweri
35,PALLISA,131370,82896,3938,86834,53788,10031,259,348,194,16362,270,361,283,535,465,yoweri
36,RAKAI,135169,81766,3195,84961,47288,219,58,129,122,33267,99,33,232,105,214,yoweri
37,RUKUNGIRI,185118,108385,4058,112443,77410,18204,204,336,1432,6501,150,83,936,149,2980,yoweri
38,SOROTI,92720,62319,2991,65310,34590,19758,505,491,469,5196,184,166,298,324,338,yoweri
39,TORORO,268434,154503,5792,160295,86248,8876,881,682,521,54556,561,143,657,485,893,yoweri
40,ADJUMANI,79364,46421,2540,48961,35125,1179,710,325,198,7866,225,81,264,183,265,yoweri
41,BUGIRI,193053,99590,5285,104875,45980,1836,256,417,267,49475,279,134,328,226,392,kyagulanyi
42,BUSIA,163571,96090,4793,100883,44679,2671,945,738,448,45166,305,137,299,261,441,kyagulanyi
43,KATAKWI,83162,56246,0,56246,40777,11710,414,185,105,2108,150,52,254,201,290,yoweri
44,NAKASONGOLA,89647,54956,2416,57372,35823,286,55,90,130,18213,58,20,98,73,110,yoweri
45,SSEMBABULE,132240,79757,2297,82054,45234,236,45,145,119,33524,75,24,155,91,109,yoweri
46,KAMWENGE,117466,90662,1087,91749,85241,386,41,82,149,3969,41,38,517,90,108,yoweri
47,KAYUNGA,190977,102503,4507,107010,35881,571,234,345,226,64172,180,103,294,197,300,kyagulanyi
48,KYENJOJO,215012,129255,4744,133999,110869,986,249,284,350,15158,106,53,728,138,334,yoweri
49,MAYUGE,231116,117627,4487,122114,50932,1005,194,754,423,62938,216,104,313,208,540,kyagulanyi
50,PADER,82298,44388,3244,47632,28233,1570,590,545,353,8292,2757,469,495,267,817,yoweri
51,SIRONKO,132465,81891,7,81898,43275,8541,97,233,124,28900,199,31,124,115,252,yoweri
52,WAKISO,1154857,561500,12518,574018,122505,3730,772,753,2520,425002,1101,140,2764,529,1684,kyagulanyi
53,YUMBE,113855,71150,4075,75225,50686,1129,368,371,181,16890,265,129,304,299,528,yoweri
54,KABERAMAIDO,52210,32822,1456,34278,18589,3378,228,180,156,9058,196,201,294,244,298,yoweri
55,KANUNGU,146064,85691,2604,88295,72126,3682,193,241,755,6722,108,62,812,218,772,yoweri
56,NAKAPIRIPIRIT,32661,23345,1145,24490,22029,59,19,24,19,978,25,9,23,31,129,yoweri
57,AMOLATAR,71173,51276,1908,53184,38619,3349,218,240,260,7185,206,134,310,289,466,yoweri
58,AMURIA,88722,56536,2216,58752,34666,16637,319,214,115,3380,215,108,278,219,385,yoweri
59,BUKWO,44126,31920,975,32895,27888,451,73,80,43,3032,56,72,80,52,93,yoweri
60,BUTALEJA,110737,69146,2098,71244,37856,641,351,239,200,29037,159,80,147,149,287,yoweri
61,IBANDA,140486,88759,2042,90801,77521,958,136,134,353,7702,159,40,1419,97,240,yoweri
62,ISINGIRO,233099,200720,2410,203130,188609,1351,132,108,313,8769,129,30,845,206,228,yoweri
63,KAABONG,41211,29784,3221,33005,26100,318,75,74,61,1218,140,659,145,146,848,yoweri
64,KALIRO,109466,67410,3094,70504,38189,728,126,457,121,27032,122,34,124,247,230,yoweri
65,KIRUHURA,81891,76432,311,76743,75483,78,1,16,31,616,7,1,155,8,36,yoweri
66,KOBOKO,92845,47906,2933,50839,34410,545,322,247,149,10719,247,215,342,155,555,yoweri
67,MANAFWA,79924,49128,1849,50977,32999,1598,110,128,91,13740,104,32,66,132,128,yoweri
68,MITYANA,176029,112617,3516,116133,38163,307,85,90,256,72955,260,37,189,81,194,kyagulanyi
69,NAKASEKE,107133,71029,2896,73925,38009,130,69,65,124,32063,204,32,97,64,172,yoweri
70,ABIM,36539,23588,875,24463,18254,433,71,66,179,3956,395,35,63,41,95,yoweri
