name,value,valid_votes ,invalid_votes ,total_votes
APAC,88834,52252,3161,55413
ARUA,65738,33804,2263,36067
BUNDIBUGYO,113472,71773,2145,73918
BUSHENYI,140415,84741,2674,87415
GULU,45342,19839,2055,21894
HOIMA,90617,52732,2971,55703
IGANGA,186519,93952,3368,97320
JINJA,120278,62361,3115,65476
KABALE,136559,88777,2247,91024
KABAROLE,107428,62223,3256,65479
KALANGALA,35465,18741,1000,19741
KAMPALA,1280409,537980,12624,550604
KAMULI,236917,127831,5899,133730
KAPCHORWA,56051,39466,1021,40487
KASESE,384058,227322,6682,234004
KIBAALE,68857,42227,1494,43721
KIBOGA,81434,48577,2052,50629
KISORO,158552,109032,2982,112014
KITGUM,99234,50980,4459,55439
KOTIDO,61086,38842,4846,43688
KUMI,119112,67387,3336,70723
LIRA,103180,60604,2882,63486
LUWERO,257115,147315,4649,151964
MASAKA,55626,34961,1187,36148
MASINDI,154805,82177,4364,86541
MBALE,108400,68701,2603,71304
MBARARA,84209,56636,1419,58055
MOROTO,38004,24433,2225,26658
MOYO,45367,24492,1542,26034
MPIGI,135726,84386,2558,86944
MUBENDE,196565,114626,5661,120287
MUKONO,355275,186974,4355,191329
NEBBI,130508,68563,4079,72642
NTUNGAMO,268541,186849,3921,190770
PALLISA,131370,82896,3938,86834
RAKAI,135169,81766,3195,84961
RUKUNGIRI,185118,108385,4058,112443
SOROTI,92720,62319,2991,65310
TORORO,268434,154503,5792,160295
ADJUMANI,79364,46421,2540,48961
BUGIRI,193053,99590,5285,104875
BUSIA,163571,96090,4793,100883
KATAKWI,83162,56246,0,56246
NAKASONGOLA,89647,54956,2416,57372
SSEMBABULE,132240,79757,2297,82054
KAMWENGE,117466,90662,1087,91749
KAYUNGA,190977,102503,4507,107010
KYENJOJO,215012,129255,4744,133999
MAYUGE,231116,117627,4487,122114
PADER,82298,44388,3244,47632
SIRONKO,132465,81891,7,81898
WAKISO,1154857,561500,12518,574018
YUMBE,113855,71150,4075,75225
KABERAMAIDO,52210,32822,1456,34278
KANUNGU,146064,85691,2604,88295
NAKAPIRIPIRIT,32661,23345,1145,24490
AMOLATAR,71173,51276,1908,53184
AMURIA,88722,56536,2216,58752
BUKWO,44126,31920,975,32895
BUTALEJA,110737,69146,2098,71244
IBANDA,140486,88759,2042,90801
ISINGIRO,233099,200720,2410,203130
KAABONG,41211,29784,3221,33005
KALIRO,109466,67410,3094,70504
KIRUHURA,81891,76432,311,76743
KOBOKO,92845,47906,2933,50839
MANAFWA,79924,49128,1849,50977
MITYANA,176029,112617,3516,116133
NAKASEKE,107133,71029,2896,73925
ABIM,36539,23588,875,24463
AMURU,87122,35018,3103,38121
BUDAKA,100900,63330,0,63330
BULIISA,44869,26630,1696,28326
DOKOLO,93712,58192,2142,60334
NAMUTUMBA,121149,68491,2936,71427
OYAM,184088,97463,5411,102874
MARACHA,101182,48306,4764,53070
BUDUDA,73039,45115,1432,46547
BUKEDEA,99828,58576,3148,61724
LYANTONDE,51076,32271,798,33069
AMUDAT,43647,31207,246,31453
BUIKWE,235640,125779,5430,131209
BUYENDE,138849,80831,4134,84965
KYEGEGWA,138528,81529,3040,84569
LAMWO,65223,33841,2837,36678
OTUKE,48541,32078,1941,34019
ZOMBO,123432,59906,4685,64591
ALEBTONG,115804,65620,3207,68827
BULAMBULI,71664,51021,1539,52560
BUVUMA,42415,21057,848,21905
GOMBA,81314,54080,1564,55644
KIRYANDONGO,125685,55031,4662,59693
KYANKWANZI,108311,65356,2509,67865
LUUKA,116094,60933,2450,63383
NAMAYINGO,107234,57882,3110,60992
NTOROKO,38098,24526,756,25282
SERERE,130290,75276,3876,79152
BUKOMANSIMBI,76557,46384,1207,47591
BUTAMBALA,55813,36587,1135,37722
KALUNGU,88687,55390,1387,56777
SHEEMA,129151,80328,2201,82529
KIBUKU,91971,59246,1414,60660
KOLE,119437,66978,3197,70175
KWEEN,47080,32684,1038,33722
LWENGO,139772,85418,2687,88105
MITOOMA,111839,66087,1711,67798
NAPAK,56678,34543,2829,37372
NGORA,72976,43174,1769,44943
BUHWEJU,66649,47619,1273,48892
NWOYA,57186,25140,1552,26692
AGAGO,98354,63961,2572,66533
RUBIRIZI,73848,48057,1306,49363
KAGADI,175680,108614,5037,113651
KAKUMIRO,140691,86100,3347,89447
OMORO,72216,34445,2557,37002
RUBANDA,111615,77167,1889,79056
ARUA,92440,56257,1636,57893
BUTEBO,51443,35823,912,36735
KYOTERA,124872,75776,2279,78055
NAMISINDWA,97191,55324,3351,58675
PAKWACH,78801,48169,0,48169
RUKIGA,60965,38212,1583,39795
BUGWERI,84953,45046,2018,47064
KAPELEBYONG,39629,25776,1652,27428
KASSANDA,134798,83374,3490,86864
KIKUUBE,112825,63840,3246,67086
KWANIA,87587,53182,2820,56002
NABILATUK,21367,16395,536,16931
KALAKI,53973,34415,1563,35978
KARENGA,18035,14157,673,14830
KAZO,92843,74503,1078,75581
KITAGWENDA,76037,46670,1191,47861
MADI,63404,37084,2414,39498
OBONGI,19321,11999,884,12883
RWAMPARA,70346,41453,747,42200
ARUA,170066,73323,4645,77968
GULU,103401,32964,1952,34916
JINJA,154750,68295,2750,71045
FORT,65163,36352,1424,37776
MBARARA,114511,53418,1656,55074
MASAKA,122339,69248,1543,70791
MBALE,147774,75369,3128,78497
TEREGO,95118,48360,4497,52857
LIRA,111772,52214,2140,54354
HOIMA,62018,34609,1450,36059
SOROTI,56019,30375,1252,31627
